timestamp_sec,Time,ES,Temperature,Time_elapsed,FLTRD_VAL,OUTLIER_VAL,IS_OUTLIER,Concentration,Solubility (g/L),Supersaturation_ln,Supersaturation_ratio,timestamp,RPM,Turbidity
2025-03-26 14:12:32,2025-03-26 14:12:33.122,170.059998,43.099998,10.618641666666663,170.059998,170.22086752471483,False,148.4972712258749,152.8471966589905,-0.0288721252069556,-0.0284593079114201,2025-03-26 14:12:32.558499840,250,63.099081279139526
2025-03-26 14:12:33,2025-03-26 14:12:33.122,170.059998,43.099998,10.628033333333333,170.059998,170.1990044068441,False,148.4972712258749,152.8471966589905,-0.0288721252069556,-0.0284593079114201,2025-03-26 14:12:33.122000000,250,63.28033803442753
2025-03-26 14:12:34,2025-03-26 14:12:34.238,170.059998,43.099998,10.646633333333334,170.059998,170.1771412889734,False,148.4972712258749,152.8471966589905,-0.0288721252069556,-0.0284593079114201,2025-03-26 14:12:34.238000000,250,63.29804669290367
2025-03-26 14:12:35,2025-03-26 14:12:35.388,170.059998,43.099998,10.6658,170.059998,170.15527817110265,False,148.4972712258749,152.8471966589905,-0.0288721252069556,-0.0284593079114201,2025-03-26 14:12:35.388000000,250,94.98291417480773
2025-03-26 14:12:36,2025-03-26 14:12:36.566,170.059998,43.099998,10.685433333333332,170.059998,170.13341505323194,False,148.4972712258749,152.8471966589905,-0.0288721252069556,-0.0284593079114201,2025-03-26 14:12:36.566000000,250,94.74997599970422
2025-03-26 14:12:37,2025-03-26 14:12:37.706,170.059998,43.099998,10.704433333333332,170.059998,170.1115519353612,False,148.4972712258749,152.8471966589905,-0.0288721252069556,-0.0284593079114201,2025-03-26 14:12:37.706000000,250,94.60598786774295
2025-03-26 14:12:38,2025-03-26 14:12:38.835,170.059998,43.099998,10.72325,170.059998,170.0896888174905,False,148.4972712258749,152.8471966589905,-0.0288721252069556,-0.0284593079114201,2025-03-26 14:12:38.835000000,250,94.60717452768513
2025-03-26 14:12:39,2025-03-26 14:12:39.985,170.100006,43.0,10.742416666666664,170.100006,170.06782569961976,False,148.83034691144644,152.6742186288,-0.0254993153209612,-0.025176953593581,2025-03-26 14:12:39.985000000,250,94.83949468694945
2025-03-26 14:12:40,2025-03-26 14:12:41.127,170.100006,43.0,10.751933333333332,170.100006,170.04596258174905,False,148.83034691144644,152.6742186288,-0.0254993153209612,-0.025176953593581,2025-03-26 14:12:40.556000000,250,95.16653480214406
2025-03-26 14:12:41,2025-03-26 14:12:41.127,170.100006,43.0,10.76145,170.100006,170.02409946387831,False,148.83034691144644,152.6742186288,-0.0254993153209612,-0.025176953593581,2025-03-26 14:12:41.127000000,250,95.51980608688544
2025-03-26 14:12:42,2025-03-26 14:12:42.298,170.100006,43.0,10.780966666666666,170.100006,170.0022363460076,False,148.83034691144644,152.6742186288,-0.0254993153209612,-0.025176953593581,2025-03-26 14:12:42.298000000,250,95.40559830560761
2025-03-26 14:12:43,2025-03-26 14:12:43.461,170.039062,43.0,10.80035,170.039062,169.98037322813687,False,148.76758815573058,152.6742186288,-0.0259210840851298,-0.0255880168122404,2025-03-26 14:12:43.461000000,250,95.18007752502152
2025-03-26 14:12:44,2025-03-26 14:12:46.928,169.89604166666666,43.0,10.819611111111112,169.89604166666666,169.95851011026616,False,148.6204437410799,152.6742186288,-0.0269116436399416,-0.0265517971804795,2025-03-26 14:12:44.616666624,250,95.21180769343246
2025-03-26 14:12:45,2025-03-26 14:12:46.928,169.75302133333335,43.0,10.838872222222223,169.75302133333335,169.93664699239542,False,148.47329932642918,152.6742186288,-0.0279022031947534,-0.0275155775487187,2025-03-26 14:12:45.772333312,250,65.79472829318199
2025-03-26 14:12:46,2025-03-26 14:12:46.928,169.610001,43.0,10.858133333333337,169.610001,169.91478387452472,False,148.3261549117785,152.6742186288,-0.0288927627495652,-0.0284793579169579,2025-03-26 14:12:46.928000000,250,65.98866385564038
