,0
0,25.59073069738751
1,25.576980998510628
2,25.57469966953728
3,25.5724210861283
4,25.625573406091178
5,25.631054667277365
6,25.616993512013853
7,25.639702286190648
8,25.65632790784047
9,25.618550427706722
10,25.450387563276877
11,25.459005872248454
12,25.446483886131404
13,25.453516763120348
14,25.45665126489391
15,25.470034577544133
16,25.474782162335412
17,25.466088028679973
18,25.484314742323612
19,25.48670583288447
20,25.487503570959092
21,25.490697991259232
22,25.477954018578142
23,25.510793397584013
24,25.470824944545406
25,25.49630207528999
26,25.48192691013476
27,25.49870926953105
28,25.462150130065247
29,25.28614740046501
30,25.313874152886857
31,25.285370721270965
32,25.2924473906625
33,25.129087649648547
34,25.18552791971544
35,25.122748332089785
36,25.141833482954272
37,25.15547531144665
38,25.132265757759463
39,25.114864661658952
40,25.168409761908745
41,25.106996845843394
42,24.96257906214212
43,24.944341147808753
44,24.974579324240796
45,24.947492137193883
46,24.9325299102384
47,24.938814687833013
48,24.94512137209934
49,24.9317458456904
50,24.75100827897477
51,24.76119333269735
52,24.784918203613604
53,24.770646112465744
54,24.778561178959617
55,24.765126050645772
56,24.773017085909306
57,24.602482485615653
58,24.603284464540074
59,24.60803914675864
60,24.621605252872126
61,24.499089064226418
62,24.44468537353558
63,24.49661791114524
64,24.499913500640048
65,24.494150108829484
66,24.498264918731856
67,24.50983589774365
68,24.322091378174353
69,24.34862342233342
70,24.321268353828124
71,24.351130629864283
72,24.341954117498272
73,24.3114218972824
74,24.15661494527712
75,24.145070457726288
76,24.145892656820266
77,24.224879002706142
78,23.977920746886163
79,23.96230581282063
80,23.975446463961227
81,23.96640218497237
82,24.010395238656148
83,23.98287944081917
84,23.987022113219762
85,23.98039845784296
86,23.80416558880284
87,23.82242153059901
88,23.84170345188786
89,23.64864790862347
90,23.69768560879148
91,23.644481172794197
92,23.63783382130936
93,23.65617203966949
94,23.655334671825145
95,23.48574787438601
96,23.546344170115933
97,23.31026462611919
98,23.319518668773405
99,23.311943737078074
100,23.370827678321827
101,23.311103990948705
102,23.293556949749316
103,23.214466942527157
104,23.15247047139413
105,23.18062802698274
106,23.12807451738788
107,22.95507593300183
108,22.92602841841138
109,22.984584925169667
110,22.973569706382712
111,22.95423958748849
112,22.796338932489977
113,22.791284160228066
114,22.77453319043532
115,22.79887160331281
116,22.790442933246677
117,22.834694604797278
118,22.64028340685337
119,22.64028340685337
120,22.69738457796966
121,22.647112305473048
122,22.61994548303485
123,22.28740066805342
124,22.30448577508312
125,22.275533200398762
126,22.283153736184843
127,22.329539153159438
128,22.306202708619185
129,22.275533200398762
130,22.145232456200823
131,22.118601208639483
132,22.115192191808916
133,22.151298536704864
134,21.94040494836109
135,21.92345358049147
136,21.772431641673187
137,21.774141071691876
138,21.773286077489864
139,21.793049880508235
140,21.61132767386883
141,21.613911221408948
142,21.594194446274738
143,21.667222862240585
144,21.418510166020532
145,21.40915765837331
146,21.387233075154665
147,21.410005996294068
148,21.247927416859497
149,21.23430924143138
150,21.19985213859884
151,21.056892661275082
152,21.06963877999385
153,21.110138865730033
154,20.867667550849127
155,20.88709776823756
156,20.91877663735123
157,20.90073215837988
158,20.90930342930647
159,20.755988609951828
160,20.751649755000248
161,20.7708145807507
162,20.581935399277278
163,20.612595666460905
164,20.472398955038262
165,20.423577014005694
166,20.430601591512186
167,20.400933400160252
168,20.23550950959986
169,20.059675526609624
170,20.060535349140416
171,20.051852278409037
172,20.050120228192718
173,19.884665724429755
174,19.881189803028878
175,19.73152257061861
176,19.707918962969067
177,19.73064320921856
178,19.707050259955835
179,19.54072897200908
180,19.574163305479694
181,19.374418962862652
182,19.378804481814363
183,19.229372254141044
184,19.232934076965993
185,19.292663649563107
186,19.08475980474174
187,19.123079700084624
188,19.09200101258572
189,19.241799349966264
190,19.043292563945027
191,19.13336063785655
192,18.884638567252125
193,18.88854273458992
194,18.91411230137771
195,18.90424985453628
196,18.752809871987623
197,18.74485394394875
198,18.777882858870417
199,18.592589974240955
200,18.56765599869102
201,18.383521649939453
202,18.228092719672063
203,18.20827857756402
204,18.210251142819896
205,18.2261023290265
206,18.25415239595657
207,18.231082179006936
208,18.28363133342668
209,18.063803166812836
210,17.881515623047665
211,17.892510970977597
212,17.890507432030383
213,17.738356587604095
214,17.72523557907807
215,17.767943576323113
216,17.730271789909633
217,17.558970513311316
218,17.54487886185231
219,17.38463294445786
220,17.380596341173195
221,17.385643349767165
222,17.38867774659399
223,17.20825970241567
224,17.22243809376122
225,17.212300330061712
226,17.069518040344235
227,17.048059494719535
228,16.882841252682393
229,16.88692955214056
230,16.875706563186863
231,16.884884512891315
232,16.895131471052917
233,16.881820454503888
234,16.72277599141894
235,16.724833624069323
236,16.556600549358528
237,16.385264872561915
238,16.378038631733926
239,16.382164901592855
240,16.398754459858395
241,16.208737041591096
242,16.236825544815627
243,16.06027460265984
244,16.063404165058365
245,15.889970722950036
246,15.904691970447729
247,15.756766571973962
248,15.754627759239389
249,15.731245863644663
250,15.564137083761976
251,15.555670677219302
252,15.575848679017856
253,15.394902192826315
254,15.236359494817211
255,15.232078159004281
256,15.062853414188506
257,15.05750056480754
258,15.046837090906786
259,14.91524069852302
260,14.89041273986407
261,14.899014546601006
262,14.89472171488673
263,14.758084992663722
264,14.55733965577365
265,14.572532856900866
266,14.56166922233929
267,14.390286062240207
268,14.463174717402353
269,14.408815571337833
270,14.237439527438973
271,14.265034820643944
272,14.239633754003215
273,14.238536294742115
274,14.092583252915539
275,14.092583252915539
276,13.895769799047969
277,13.893570360740526
278,13.899073277806167
279,13.936883651187593
280,13.721057973070167
281,13.738734335816533
282,13.56401234715497
283,13.560686979072544
284,13.596433251370854
285,13.382621911191169
286,13.403734888639804
287,13.413810744569155
288,13.233450509661013
289,13.232331771005118
290,13.258215286640793
291,13.071021819738892
