Rc,c0,Ts,Tn,MSZW,t_ind,sigma_max
0.1,149.52,36.6,32.8,3.8000000000000043,38.0,0.055232334765446825
0.3,147.7,35.6,29.3,6.300000000000001,21.0,0.08685800575693868
0.5,149.1,36.0,27.0,9.0,18.0,0.13191897821750906
