,0
0,8.857595001073367
1,8.006406160925966
2,7.8658385115121146
3,7.725626942136736
4,11.0454480066978
5,11.393703845184392
6,10.50255421442292
7,11.94541115578239
8,13.01397590111435
9,10.600866095396604
10,10.596770761568502
11,11.141343518083424
12,10.351005075288164
13,10.794181802498155
14,10.99228892274005
15,11.842229835664586
16,12.145335426346845
17,11.590904008718367
18,12.756476575566927
19,12.910305329421732
20,12.961674895085698
21,13.167616272851756
22,12.34830833456939
23,14.471991688427485
24,11.892631919844609
25,13.529835421314514
26,12.603071510070532
27,13.685788195695222
28,11.340705180927753
29,10.83985618398087
30,12.601620966190197
31,10.790914039877158
32,11.237666327404296
33,11.535042248486862
34,15.166420904718633
35,11.134557375084981
36,12.344733988508013
37,13.218012630701335
38,11.73637407271889
39,10.63856095456132
40,14.052425771712409
41,10.145820705135703
42,11.632882200976471
43,10.4862049882758
44,12.394015488710396
45,10.683453032749718
46,9.750032445698908
47,10.141123857928944
48,10.535012526446863
49,9.701341217847713
50,8.921875109759137
51,9.550079822012421
52,11.027828630316545
53,10.13643660741479
54,10.629879423756263
55,9.793637560615384
56,10.284011568657947
57,10.131741548106847
58,10.18152253657317
59,10.47713186067969
60,11.325037613109295
61,14.213372350754828
62,10.771038851502555
63,14.054663903145062
64,14.266371597924524
65,13.896395919172347
66,14.160416952661187
67,14.906215290196076
68,13.63360421068625
69,15.339168925217924
70,13.581112308805837
71,15.501689336963684
72,14.907994461946092
73,12.955033600626836
74,13.7915619029746
75,13.05810400203939
76,13.110180514802957
77,18.229268457688576
78,13.109456084963158
79,12.126789931193942
80,12.953160795723726
81,12.383730885517929
82,15.181441650566443
83,13.423353122046638
84,13.686277604172517
85,13.266189742355724
86,12.744214095100531
87,13.897870576807888
88,15.129488359255744
89,13.528098911165227
90,16.66963171489645
91,13.26518592286234
92,12.847040335699017
93,14.004440562711299
94,13.951327028235086
95,13.84553264228211
96,17.74285385836471
97,13.369509604227531
98,13.952250074155817
99,13.475018687153769
100,17.23933984741703
101,13.42223960869462
